Time (Sec);S11;S12;S14;S26;S3;S38;S4;S40;S41;S42;S46;S47;S48;S5;S53;S54;S8;
0.0;1000.0;1000.0;999.9999;1000.0;1000.0;999.9999;1000.0;1000.0;1000.0;999.9999;1000.0;1000.0;1000.0;1000.0;999.9999;1000.0;1000.0;
0.9999800963619867;997.6319999999994;999.7759;999.3599;998.8799;996.8959999999995;999.8718;997.2639999999994;999.7759;999.7759;999.3599;999.7759;999.7759;998.8799;999.7839;999.3599;998.8799;999.7839;
0.9999800963619867;997.6319999999994;999.7759;999.3599;998.8799;996.8959999999995;999.6318;997.2639999999994;999.7759;999.7759;999.3599;999.7759;999.7759;998.8799;999.7839;999.3599;998.8799;999.7839;
0.9999999999999999;997.6319999999994;999.7759;999.3599;998.8799;996.8959999999995;999.6318;997.2639999999994;999.7759;999.7759;999.3599;999.7759;999.7759;998.8799;999.7839;999.3599;998.8799;999.7839;
1.0000002337121492;997.6319999999994;999.7759;999.3599;998.8799;996.8959999999995;999.6318;997.2639999999994;999.7759;999.7759;999.3598000000001;999.7759;999.7759;998.8799;999.7839;999.3599;998.8799;999.7839;
1.0000002337121492;997.6319999999994;999.7759;999.3599;998.8799;996.8959999999995;999.6318;997.2639999999994;999.7759;999.7759;998.1598;999.7759;999.7759;998.8799;999.7839;999.3599;998.8799;999.7839;
1.0000050533016287;997.6319999999994;999.7759;999.3598000000001;998.8799;996.8959999999995;999.6318;997.2639999999994;999.7759;999.7759;998.1598;999.7759;999.7759;998.8799;999.7839;999.3599;998.8799;999.7839;
1.0000050533016287;997.6319999999994;999.7759;998.1598;998.8799;996.8959999999995;999.6318;997.2639999999994;999.7759;999.7759;998.1598;999.7759;999.7759;998.8799;999.7839;999.3599;998.8799;999.7839;
1.0000592464968265;997.6319999999994;999.7759;998.1598;998.8799;996.8959999999995;999.6318;997.2639999999994;999.7759;999.7759;998.1598;999.7759;999.7759;998.8799;999.7839;999.3598000000001;998.8799;999.7839;
1.0000592464968265;997.6319999999994;999.7759;998.1598;998.8799;996.8959999999995;999.6318;997.2639999999994;999.7759;999.7759;998.1598;999.7759;999.7759;998.8799;999.7839;998.1598;998.8799;999.7839;
1.0259934296953201;997.3919999999994;999.7759;998.1598;998.8799;996.8959999999995;999.6318;997.2639999999994;999.7759;999.7759;998.1598;999.7759;999.7759;998.8799;999.7839;998.1598;998.8799;999.7839;
1.999960192723973;994.367999999999;999.5518;998.1598;997.7598;993.7599999999989;999.6317;994.0639999999989;999.5518;999.5518;998.1598;999.5518;999.5518;997.7598;999.5598;998.1598;997.7598;999.5598;
1.999960192723973;994.367999999999;999.5518;998.1598;997.7598;993.7599999999989;999.3917;994.0639999999989;999.5518;999.5518;998.1598;999.5518;999.5518;997.7598;999.5598;998.1598;997.7598;999.5598;
1.9999999999999993;994.367999999999;999.5518;998.1598;997.7598;993.7599999999989;999.3917;994.0639999999989;999.5518;999.5518;998.1598;999.5518;999.5518;997.7598;999.5598;998.1598;997.7598;999.5598;
2.000011756818744;994.367999999999;999.5518;998.1598;997.7598;993.7599999999989;999.3917;994.0639999999989;999.5518;999.5518;998.1597;999.5518;999.5518;997.7598;999.5598;998.1598;997.7598;999.5598;
2.000011756818744;994.367999999999;999.5518;998.1598;997.7598;993.7599999999989;999.3917;994.0639999999989;999.5518;999.5518;996.9997000000001;999.5518;999.5518;997.7598;999.5598;998.1598;997.7598;999.5598;
2.0000195799023706;994.367999999999;999.5518;998.1597;997.7598;993.7599999999989;999.3917;994.0639999999989;999.5518;999.5518;996.9997000000001;999.5518;999.5518;997.7598;999.5598;998.1598;997.7598;999.5598;
2.0000195799023706;994.367999999999;999.5518;996.9997000000001;997.7598;993.7599999999989;999.3917;994.0639999999989;999.5518;999.5518;996.9997000000001;999.5518;999.5518;997.7598;999.5598;998.1598;997.7598;999.5598;
2.000073252072188;994.367999999999;999.5518;996.9997000000001;997.7598;993.7599999999989;999.3917;994.0639999999989;999.5518;999.5518;996.9997000000001;999.5518;999.5518;997.7598;999.5598;998.1597;997.7598;999.5598;
2.000073252072188;994.367999999999;999.5518;996.9997000000001;997.7598;993.7599999999989;999.3917;994.0639999999989;999.5518;999.5518;996.9997000000001;999.5518;999.5518;997.7598;999.5598;996.9997000000001;997.7598;999.5598;
2.024935756818744;993.895999999999;999.5518;996.9997000000001;997.7598;993.7599999999989;999.3917;994.0639999999989;999.5518;999.5518;996.9997000000001;999.5518;999.5518;997.7598;999.5598;996.9997000000001;997.7598;999.5598;
2.9999710328643756;991.1999999999991;999.3357;996.9997000000001;996.6797;990.7039999999986;999.3916;990.9519999999989;999.3357;999.3357;996.9997000000001;999.3357;999.3357;996.6797;999.3357;996.9997000000001;996.6797;999.3357;
2.9999710328643756;991.1999999999991;999.3357;996.9997000000001;996.6797;990.7039999999986;999.1596000000001;990.9519999999989;999.3357;999.3357;996.9997000000001;999.3357;999.3357;996.6797;999.3357;996.9997000000001;996.6797;999.3357;
2.9999999999999982;991.1999999999991;999.3357;996.9997000000001;996.6797;990.7039999999986;999.1596000000001;990.9519999999989;999.3357;999.3357;996.9997000000001;999.3357;999.3357;996.6797;999.3357;996.9997000000001;996.6797;999.3357;
3.000023279925338;991.1999999999991;999.3357;996.9997000000001;996.6797;990.7039999999986;999.1596000000001;990.9519999999989;999.3357;999.3357;996.9996000000001;999.3357;999.3357;996.6797;999.3357;996.9997000000001;996.6797;999.3357;
3.000023279925338;991.1999999999991;999.3357;996.9997000000001;996.6797;990.7039999999986;999.1596000000001;990.9519999999989;999.3357;999.3357;995.8396000000001;999.3357;999.3357;996.6797;999.3357;996.9997000000001;996.6797;999.3357;
3.000034106503112;991.1999999999991;999.3357;996.9996000000001;996.6797;990.7039999999986;999.1596000000001;990.9519999999989;999.3357;999.3357;995.8396000000001;999.3357;999.3357;996.6797;999.3357;996.9997000000001;996.6797;999.3357;
3.000034106503112;991.1999999999991;999.3357;995.8396000000001;996.6797;990.7039999999986;999.1596000000001;990.9519999999989;999.3357;999.3357;995.8396000000001;999.3357;999.3357;996.6797;999.3357;996.9997000000001;996.6797;999.3357;
3.000087257647549;991.1999999999991;999.3357;995.8396000000001;996.6797;990.7039999999986;999.1596000000001;990.9519999999989;999.3357;999.3357;995.8396000000001;999.3357;999.3357;996.6797;999.3357;996.9996000000001;996.6797;999.3357;
3.000087257647549;991.1999999999991;999.3357;995.8396000000001;996.6797;990.7039999999986;999.1596000000001;990.9519999999989;999.3357;999.3357;995.8396000000001;999.3357;999.3357;996.6797;999.3357;995.8396000000001;996.6797;999.3357;
